employee_ID,f_Name,l_Name,role,work_email,lic_num,seniority_level
EMP771,Carolyn,Sanders,Management,ykemp@example.net,LIC-M-2026,Senior
EMP821,Tyler,Chandler,Management,cameronnathan@example.com,LIC-M-2176,Junior
EMP351,Charles,Day,Management,fbrowning@example.net,LIC-M-2872,Junior
EMP951,Kimberly,Thompson,Management,hilljerry@example.com,LIC-M-2063,Senior
EMP825,Natasha,Joyce,Management,wendyboyle@example.net,LIC-M-2604,Senior
EMP600,Alyssa,Gross,Management,rachaelwilcox@example.org,LIC-M-2338,Senior
EMP524,Regina,Snow,Management,ralph55@example.net,LIC-M-2264,Senior
EMP934,Scott,Mendez,Management,mwalker@example.net,LIC-M-2711,Director
EMP195,Brian,Moore,Management,chadsmith@example.net,LIC-M-2803,Junior
EMP787,Tracy,Blackwell,Management,timothy46@example.org,LIC-M-2422,Junior
EMP119,Kelly,Cox,Management,matthew64@example.net,LIC-M-2710,Senior
EMP477,Julia,Horn,Management,kimberlymiller@example.com,LIC-M-2708,Senior
EMP448,Scott,West,Management,acameron@example.org,LIC-M-2427,Senior
EMP451,David,Bridges,Management,kenneth18@example.com,LIC-M-2520,Senior
EMP556,Jason,Stone,Management,stacy52@example.com,LIC-M-2129,Director
EMP186,John,Hunter,Management,hbrown@example.net,LIC-M-2696,Senior
EMP972,Rose,Griffith,Management,igarcia@example.com,LIC-M-2505,Junior
EMP301,Lindsey,Walters,Management,william46@example.com,LIC-M-2174,Director
EMP185,Christopher,Robinson,Management,floreshannah@example.org,LIC-M-2786,Director
EMP413,Jasmin,Dorsey,Management,reidchristina@example.net,LIC-M-2560,Senior
EMP878,Daniel,Mitchell,Management,pamelaboyd@example.com,LIC-M-2866,Senior
EMP362,Donald,Wilson,Management,leeomar@example.net,LIC-M-2420,Junior
EMP350,Ashley,Jenkins,Management,debra52@example.org,LIC-M-2310,Junior
EMP433,Kara,Huffman,Management,gordonashlee@example.com,LIC-M-2850,Director
EMP708,Peter,Cole,Management,hdonovan@example.org,LIC-M-2562,Senior
EMP172,Brett,Silva,Management,ymiller@example.com,LIC-M-2037,Senior
EMP617,Aaron,Mack,Management,thomasthomas@example.com,LIC-M-2874,Senior
EMP740,Lindsey,Flores,Management,edwardsbrianna@example.org,LIC-M-2618,Director
EMP648,Tammy,Shepherd,Management,garciasusan@example.org,LIC-M-2246,Junior
EMP661,Jeffrey,Cruz,Management,leslie09@example.com,LIC-M-2007,Director
EMP532,John,Phillips,Management,jose67@example.net,LIC-M-2217,Director
EMP612,Erik,Johnson,Management,gabriellamorrow@example.com,LIC-M-2931,Senior
EMP177,Mary,Shaw,Management,vmartinez@example.net,LIC-M-2262,Senior
EMP706,Beverly,Wheeler,Management,jhale@example.com,LIC-M-2034,Director
EMP631,Paul,Warren,Management,smithbilly@example.com,LIC-M-2797,Director
EMP922,Michael,Bailey,Management,wyates@example.net,LIC-M-2475,Director
EMP217,Cameron,Roman,Management,yumatthew@example.net,LIC-M-2643,Director
EMP528,Patrick,Perry,Management,michael25@example.org,LIC-M-2966,Director
EMP535,Steven,Johnson,Management,edward63@example.com,LIC-M-2866,Director
EMP967,Jordan,Cameron,Management,briannachambers@example.org,LIC-M-2569,Junior
EMP592,Christopher,Wright,Management,zachary28@example.org,LIC-M-2275,Senior
EMP572,Ryan,Phillips,Management,annelong@example.com,LIC-M-2663,Junior
EMP107,Kurt,Olson,Management,vrodriguez@example.net,LIC-M-2809,Junior
EMP628,Jeffrey,Mitchell,Management,rickytorres@example.com,LIC-M-2062,Senior
EMP588,Julie,Carter,Management,kayla12@example.net,LIC-M-2176,Junior
EMP917,Lance,Morris,Management,joseph10@example.net,LIC-M-2847,Director
EMP698,Laura,Baker,Management,hensonanthony@example.net,LIC-M-2698,Senior
EMP673,Joanna,Hill,Management,frank73@example.com,LIC-M-2231,Director
EMP950,Emily,Riley,Management,alexandermarshall@example.com,LIC-M-2657,Director
EMP916,Daniel,Silva,Management,richsusan@example.org,LIC-M-2216,Junior
EMP367,George,Meadows,Management,carolcoleman@example.net,LIC-M-2220,Director
EMP915,Omar,Johnson,Management,marcus01@example.com,LIC-M-2024,Senior
EMP801,Anthony,Snyder,Management,youngjulia@example.com,LIC-M-2432,Senior
EMP353,Victoria,Rose,Management,vasquezmaria@example.com,LIC-M-2713,Senior
EMP794,Natasha,Dickson,Management,elizabeth11@example.com,LIC-M-2455,Senior
EMP210,Michele,Rogers,Management,hallbarry@example.org,LIC-M-2493,Junior
EMP764,Robert,Johnson,Management,kimberly13@example.com,LIC-M-2631,Senior
EMP623,Samantha,Sanders,Management,alexandercastillo@example.org,LIC-M-2761,Senior
EMP892,Grant,Warren,Management,daviswilliam@example.net,LIC-M-2673,Director
EMP982,Brooke,Williams,Management,charlesmaxwell@example.com,LIC-M-2357,Senior
EMP578,Ashley,Collins,Management,jeffreyclark@example.com,LIC-M-2490,Junior
EMP418,Mary,Sanders,Management,melaniewhite@example.org,LIC-M-2878,Director
EMP345,Andre,Beasley,Management,williamsdavid@example.net,LIC-M-2535,Senior
EMP583,Michael,Sanchez,Management,ecollins@example.net,LIC-M-2862,Junior
EMP150,Benjamin,Mccarthy,Management,priscilla16@example.com,LIC-M-2437,Junior
EMP431,Carlos,Miles,Management,amanda97@example.net,LIC-M-2825,Director
EMP169,Gregory,Conner,Management,nknox@example.net,LIC-M-2497,Director
EMP713,Carolyn,Powell,Management,ccampbell@example.com,LIC-M-2540,Senior
EMP372,Travis,Dennis,Management,boltonbrenda@example.org,LIC-M-2170,Senior
EMP344,Michael,Espinoza,Management,keithpope@example.com,LIC-M-2414,Director
EMP616,Kari,Davis,Management,murillokurt@example.net,LIC-M-2933,Junior
EMP507,Karen,Hall,Management,morgantate@example.net,LIC-M-2848,Director
EMP769,Stephanie,Jordan,Management,smccormick@example.net,LIC-M-2696,Director
EMP758,Dennis,Lewis,Management,bautistamichelle@example.net,LIC-M-2187,Junior
EMP487,Amy,Evans,Management,pkeith@example.org,LIC-M-2957,Director
EMP929,Nicholas,Wilson,Management,austin74@example.net,LIC-M-2528,Senior
