employee_ID,lic_No
EMP134,LIC-T-1667
EMP811,LIC-T-1942
EMP514,LIC-T-1278
EMP862,LIC-T-1183
EMP149,LIC-T-1894
EMP291,LIC-T-1152
EMP638,LIC-T-1187
EMP792,LIC-T-1933
EMP890,LIC-T-1208
EMP229,LIC-T-1156
EMP755,LIC-T-1098
EMP873,LIC-T-1774
EMP868,LIC-T-1135
EMP326,LIC-T-1822
EMP313,LIC-T-1405
EMP618,LIC-T-1736
EMP426,LIC-T-1624
EMP559,LIC-T-1316
EMP492,LIC-T-1932
EMP557,LIC-T-1402
EMP138,LIC-T-1251
EMP829,LIC-T-1094
EMP979,LIC-T-1918
EMP224,LIC-T-1095
EMP158,LIC-T-1270
EMP258,LIC-T-1675
EMP303,LIC-T-1939
EMP919,LIC-T-1445
EMP437,LIC-T-1284
EMP380,LIC-T-1517
EMP920,LIC-T-1701
EMP168,LIC-T-1436
EMP129,LIC-T-1659
EMP553,LIC-T-1231
EMP560,LIC-T-1971
EMP378,LIC-T-1722
EMP112,LIC-T-1368
EMP954,LIC-T-1646
EMP548,LIC-T-1801
EMP267,LIC-T-1773
EMP331,LIC-T-1572
EMP409,LIC-T-1434
EMP302,LIC-T-1349
EMP709,LIC-T-1655
EMP336,LIC-T-1480
EMP424,LIC-T-1191
EMP627,LIC-T-1297
EMP907,LIC-T-1182
EMP259,LIC-T-1194
EMP910,LIC-T-1614
EMP977,LIC-T-1670
EMP726,LIC-T-1574
EMP220,LIC-T-1060
EMP498,LIC-T-1878
EMP918,LIC-T-1888
EMP545,LIC-T-1873
EMP770,LIC-T-1052
EMP453,LIC-T-1868
EMP489,LIC-T-1809
EMP860,LIC-T-1688
EMP906,LIC-T-1246
EMP606,LIC-T-1790
EMP932,LIC-T-1283
EMP440,LIC-T-1069
EMP501,LIC-T-1794
EMP681,LIC-T-1237
EMP474,LIC-T-1120
EMP835,LIC-T-1868
EMP786,LIC-T-1944
EMP106,LIC-T-1205
EMP160,LIC-T-1828
EMP146,LIC-T-1471
EMP295,LIC-T-1069
EMP299,LIC-T-1301
EMP173,LIC-T-1741
EMP669,LIC-T-1294
EMP399,LIC-T-1712
EMP655,LIC-T-1868
EMP332,LIC-T-1919
EMP225,LIC-T-1792
EMP338,LIC-T-1074
EMP724,LIC-T-1599
EMP406,LIC-T-1345
EMP599,LIC-T-1536
EMP513,LIC-T-1811
EMP644,LIC-T-1227
EMP595,LIC-T-1533
EMP626,LIC-T-1389
EMP228,LIC-T-1182
EMP491,LIC-T-1704
EMP539,LIC-T-1540
EMP727,LIC-T-1041
EMP695,LIC-T-1806
EMP854,LIC-T-1173
EMP368,LIC-T-1575
EMP893,LIC-T-1989
EMP766,LIC-T-1266
EMP710,LIC-T-1053
EMP790,LIC-T-1165
EMP959,LIC-T-1299
EMP981,LIC-T-1928
EMP251,LIC-T-1396
EMP365,LIC-T-1409
EMP115,LIC-T-1738
EMP742,LIC-T-1751
EMP151,LIC-T-1166
EMP449,LIC-T-1650
EMP887,LIC-T-1882
EMP720,LIC-T-1065
EMP471,LIC-T-1948
EMP286,LIC-T-1693
EMP289,LIC-T-1477
EMP328,LIC-T-1753
EMP341,LIC-T-1518
EMP960,LIC-T-1043
EMP773,LIC-T-1105
EMP213,LIC-T-1636
EMP174,LIC-T-1564
EMP550,LIC-T-1349
EMP246,LIC-T-1568
EMP519,LIC-T-1055
EMP645,LIC-T-1609
EMP817,LIC-T-1715
EMP936,LIC-T-1173
EMP375,LIC-T-1397
EMP611,LIC-T-1784
EMP952,LIC-T-1735
EMP746,LIC-T-1386
EMP845,LIC-T-1609
EMP388,LIC-T-1797
EMP897,LIC-T-1933
EMP781,LIC-T-1567
EMP700,LIC-T-1877
EMP993,LIC-T-1883
EMP436,LIC-T-1270
EMP889,LIC-T-1449
EMP564,LIC-T-1720
EMP482,LIC-T-1338
EMP127,LIC-T-1983
EMP745,LIC-T-1673
EMP382,LIC-T-1167
EMP750,LIC-T-1048
EMP500,LIC-T-1563
EMP180,LIC-T-1105
EMP339,LIC-T-1283
EMP503,LIC-T-1482
EMP739,LIC-T-1642
EMP933,LIC-T-1208
EMP256,LIC-T-1155
EMP108,LIC-T-1223
EMP712,LIC-T-1460
EMP312,LIC-T-1166
EMP567,LIC-T-1048
EMP561,LIC-T-1576
EMP516,LIC-T-1450
EMP774,LIC-T-1488
EMP358,LIC-T-1228
EMP466,LIC-T-1938
EMP494,LIC-T-1998
EMP749,LIC-T-1952
EMP812,LIC-T-1864
EMP864,LIC-T-1967
